"filename", "language", "JavaScript", "TypeScript", "TypeScript React", "CSS", "XML", "JSON", "comment", "blank", "total"
"c:\Users\K\Desktop\gym-app\front\cypress\integration\auth.spec.ts", "TypeScript", 0, 30, 0, 0, 0, 0, 1, 10, 41
"c:\Users\K\Desktop\gym-app\front\cypress\integration\home.spec.ts", "TypeScript", 0, 40, 0, 0, 0, 0, 1, 8, 49
"c:\Users\K\Desktop\gym-app\front\cypress\integration\offers.spec.ts", "TypeScript", 0, 27, 0, 0, 0, 0, 1, 8, 36
"c:\Users\K\Desktop\gym-app\front\cypress\integration\tutorials\1-getting-started\todo.spec.js", "JavaScript", 58, 0, 0, 0, 0, 0, 66, 20, 144
"c:\Users\K\Desktop\gym-app\front\cypress\integration\tutorials\2-advanced-examples\actions.spec.js", "JavaScript", 146, 0, 0, 0, 0, 0, 92, 62, 300
"c:\Users\K\Desktop\gym-app\front\cypress\integration\tutorials\2-advanced-examples\aliasing.spec.js", "JavaScript", 15, 0, 0, 0, 0, 0, 18, 7, 40
"c:\Users\K\Desktop\gym-app\front\cypress\integration\tutorials\2-advanced-examples\assertions.spec.js", "JavaScript", 107, 0, 0, 0, 0, 0, 43, 27, 177
"c:\Users\K\Desktop\gym-app\front\cypress\integration\tutorials\2-advanced-examples\connectors.spec.js", "JavaScript", 69, 0, 0, 0, 0, 0, 16, 13, 98
"c:\Users\K\Desktop\gym-app\front\cypress\integration\tutorials\2-advanced-examples\cookies.spec.js", "JavaScript", 42, 0, 0, 0, 0, 0, 14, 22, 78
"c:\Users\K\Desktop\gym-app\front\cypress\integration\tutorials\2-advanced-examples\cypress_api.spec.js", "JavaScript", 126, 0, 0, 0, 0, 0, 35, 40, 201
"c:\Users\K\Desktop\gym-app\front\cypress\integration\tutorials\2-advanced-examples\files.spec.js", "JavaScript", 10, 0, 0, 0, 0, 0, 72, 6, 88
"c:\Users\K\Desktop\gym-app\front\cypress\integration\tutorials\2-advanced-examples\local_storage.spec.js", "JavaScript", 37, 0, 0, 0, 0, 0, 8, 8, 53
"c:\Users\K\Desktop\gym-app\front\cypress\integration\tutorials\2-advanced-examples\location.spec.js", "JavaScript", 24, 0, 0, 0, 0, 0, 4, 5, 33
"c:\Users\K\Desktop\gym-app\front\cypress\integration\tutorials\2-advanced-examples\misc.spec.js", "JavaScript", 63, 0, 0, 0, 0, 0, 21, 21, 105
"c:\Users\K\Desktop\gym-app\front\cypress\integration\tutorials\2-advanced-examples\navigation.spec.js", "JavaScript", 33, 0, 0, 0, 0, 0, 11, 13, 57
"c:\Users\K\Desktop\gym-app\front\cypress\integration\tutorials\2-advanced-examples\network_requests.spec.js", "JavaScript", 89, 0, 0, 0, 0, 0, 61, 14, 164
"c:\Users\K\Desktop\gym-app\front\cypress\integration\tutorials\2-advanced-examples\querying.spec.js", "JavaScript", 60, 0, 0, 0, 0, 0, 28, 27, 115
"c:\Users\K\Desktop\gym-app\front\cypress\integration\tutorials\2-advanced-examples\spies_stubs_clocks.spec.js", "JavaScript", 100, 0, 0, 0, 0, 0, 59, 45, 204
"c:\Users\K\Desktop\gym-app\front\cypress\integration\tutorials\2-advanced-examples\traversal.spec.js", "JavaScript", 83, 0, 0, 0, 0, 0, 19, 20, 122
"c:\Users\K\Desktop\gym-app\front\cypress\integration\tutorials\2-advanced-examples\utilities.spec.js", "JavaScript", 52, 0, 0, 0, 0, 0, 43, 14, 109
"c:\Users\K\Desktop\gym-app\front\cypress\integration\tutorials\2-advanced-examples\viewport.spec.js", "JavaScript", 37, 0, 0, 0, 0, 0, 12, 11, 60
"c:\Users\K\Desktop\gym-app\front\cypress\integration\tutorials\2-advanced-examples\waiting.spec.js", "JavaScript", 14, 0, 0, 0, 0, 0, 15, 3, 32
"c:\Users\K\Desktop\gym-app\front\cypress\integration\tutorials\2-advanced-examples\window.spec.js", "JavaScript", 14, 0, 0, 0, 0, 0, 4, 5, 23
"c:\Users\K\Desktop\gym-app\front\src\.prettierrc", "JSON", 0, 0, 0, 0, 0, -6, 0, 0, -6
"c:\Users\K\Desktop\gym-app\front\src\App.css", "CSS", 0, 0, 0, -19, 0, 0, 0, -2, -21
"c:\Users\K\Desktop\gym-app\front\src\App.test.tsx", "TypeScript React", 0, 0, -8, 0, 0, 0, 0, -2, -10
"c:\Users\K\Desktop\gym-app\front\src\App.tsx", "TypeScript React", 0, 0, -100, 0, 0, 0, 0, -7, -107
"c:\Users\K\Desktop\gym-app\front\src\components\auth\AuthProvider.tsx", "TypeScript React", 0, 0, -28, 0, 0, 0, 0, -9, -37
"c:\Users\K\Desktop\gym-app\front\src\components\buttons\NavbarSignUpButton.css", "CSS", 0, 0, 0, -24, 0, 0, 0, -3, -27
